"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.0.1","10.0.0.2","TCP","74","34382  >  34567 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=3528853320 TSecr=0 WS=512"
"2","0.151576204","10.0.0.2","10.0.0.1","TCP","74","34567  >  34382 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=937261159 TSecr=3528853320 WS=512"
"3","0.202239984","10.0.0.1","10.0.0.2","TCP","66","34382  >  34567 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3528853523 TSecr=937261159"
"4","0.226478629","10.0.0.1","10.0.0.2","TCP","2962","34382  >  34567 [PSH, ACK] Seq=1 Ack=1 Win=42496 Len=2896 TSval=3528853523 TSecr=937261159"
"5","0.250681661","10.0.0.1","10.0.0.2","TCP","2962","34382  >  34567 [PSH, ACK] Seq=2897 Ack=1 Win=42496 Len=2896 TSval=3528853523 TSecr=937261159"
"6","0.275179483","10.0.0.1","10.0.0.2","TCP","2962","34382  >  34567 [PSH, ACK] Seq=5793 Ack=1 Win=42496 Len=2896 TSval=3528853523 TSecr=937261159"
"7","0.299089748","10.0.0.1","10.0.0.2","TCP","2962","34382  >  34567 [PSH, ACK] Seq=8689 Ack=1 Win=42496 Len=2896 TSval=3528853523 TSecr=937261159"
"8","0.323454379","10.0.0.1","10.0.0.2","TCP","2962","34382  >  34567 [PSH, ACK] Seq=11585 Ack=1 Win=42496 Len=2896 TSval=3528853523 TSecr=937261159"
"9","0.377403559","10.0.0.2","10.0.0.1","TCP","66","34567  >  34382 [ACK] Seq=1 Ack=2897 Win=41984 Len=0 TSval=937261385 TSecr=3528853523"
"10","0.401746268","10.0.0.2","10.0.0.1","TCP","66","34567  >  34382 [ACK] Seq=1 Ack=5793 Win=41984 Len=0 TSval=937261409 TSecr=3528853523"
"11","0.425536757","10.0.0.2","10.0.0.1","TCP","66","34567  >  34382 [ACK] Seq=1 Ack=8689 Win=41984 Len=0 TSval=937261433 TSecr=3528853523"
